日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/02/27,"44,699,119","11,061,945,363",250.50,250.50,246.00,246.00,-0.50,"10,908"
107/02/26,"36,165,810","8,910,352,170",247.00,247.50,245.00,246.50,+1.50,"12,565"
107/02/23,"26,985,776","6,578,657,620",241.00,245.00,241.00,245.00,+5.50,"10,178"
107/02/22,"45,492,993","10,977,665,819",244.00,244.00,239.00,239.50,-3.00,"10,071"
107/02/21,"76,396,174","18,582,475,956",244.50,244.50,242.00,242.50,+6.00,"21,512"
107/02/12,"42,917,236","10,113,012,768",235.50,237.50,235.00,236.50,+4.00,"10,851"
107/02/09,"65,939,265","15,227,192,540",230.00,233.00,228.50,232.50,-6.00,"19,749"
107/02/08,"31,192,550","7,468,970,072",239.50,242.00,238.00,238.50,-1.50,"10,274"
107/02/07,"82,299,178","19,903,032,966",245.00,245.50,239.50,240.00,+1.00,"22,962"
107/02/06,"104,448,048","24,944,565,955",242.50,243.50,234.00,239.00,-14.00,"35,455"
107/02/05,"46,554,379","11,742,299,859",251.00,254.50,250.50,253.00,-6.50,"16,909"
107/02/02,"25,707,560","6,633,344,540",259.00,260.00,255.00,259.50, 0.00,"11,404"
107/02/01,"30,900,457","8,022,694,430",257.50,261.00,257.00,259.50,+4.50,"13,598"
107/01/31,"45,807,808","11,670,582,000",253.00,257.50,252.00,255.00,+2.00,"13,553"
107/01/30,"37,410,591","9,523,980,994",256.00,257.50,252.50,253.00,-5.50,"12,987"
107/01/29,"31,306,234","8,067,780,117",259.00,261.50,255.00,258.50,+3.50,"12,211"
107/01/26,"43,514,523","11,101,977,348",256.50,257.50,253.50,255.00,-3.00,"12,821"
107/01/25,"46,214,756","11,981,089,514",258.00,264.00,256.50,258.00, 0.00,"15,826"
107/01/24,"42,600,813","11,022,372,004",263.00,263.00,256.50,258.00,-8.00,"17,287"
107/01/23,"34,606,444","9,155,080,569",262.50,266.00,262.50,266.00,+4.50,"13,993"
107/01/22,"45,907,509","11,934,882,643",257.50,262.00,257.00,261.50,+6.00,"13,558"
107/01/19,"55,061,292","13,975,174,348",253.50,255.50,251.50,255.50,+7.00,"18,801"
107/01/18,"50,119,952","12,406,562,364",245.00,250.00,245.00,248.50,+6.50,"19,482"
107/01/17,"38,118,119","9,207,582,787",240.50,243.00,239.00,242.00,+1.50,"12,593"
107/01/16,"23,407,632","5,609,009,540",240.00,240.50,238.00,240.50,+0.50,"8,156"
107/01/15,"28,576,533","6,832,851,887",240.00,240.00,238.00,240.00,+3.00,"9,756"
107/01/12,"23,141,291","5,463,302,207",234.50,238.00,233.50,237.00,+2.00,"7,905"
107/01/11,"32,070,338","7,500,674,455",235.00,236.00,232.50,235.00,-1.50,"9,199"
107/01/10,"25,716,220","6,118,683,273",241.50,242.00,236.00,236.50,-5.50,"10,534"
107/01/09,"19,043,123","4,588,314,012",242.00,242.00,239.50,242.00, 0.00,"7,124"
107/01/08,"21,846,692","5,281,823,362",242.00,242.50,240.50,242.00,+2.00,"10,251"
107/01/05,"23,721,255","5,681,934,695",240.00,240.00,238.00,240.00,+0.50,"8,659"
107/01/04,"29,179,613","6,963,192,636",240.00,240.00,236.50,239.50,+2.50,"10,953"
107/01/03,"31,706,091","7,504,382,512",236.00,238.00,235.50,237.00,+4.50,"13,633"
107/01/02,"18,055,269","4,188,555,408",231.50,232.50,231.00,232.50,+3.00,"9,954"
106/12/29,"25,610,443","5,861,624,377",227.50,230.00,226.50,229.50,+3.50,"8,325"
106/12/28,"24,370,371","5,521,736,966",226.50,228.00,225.00,226.00,+1.00,"7,413"
106/12/27,"12,515,245","2,820,168,625",225.00,226.00,225.00,225.00,-1.00,"5,717"
